title,company,location,url,experience,salary,description,source,scrape_date,job_type,keywords
Accountant,NetCreativeMind,Jammu,https://www.naukri.com/job-listings-accountant-netcreativemind-jammu-1-to-3-years-250425019160,,,No Description Available,Naukri,2025-04-27,Full Time,
Business Analyst / Financial Analyst / Management Trainee,Milestone Online Technology,"Hybrid - Jammu, Ludhiana, Amritsar",https://www.naukri.com/job-listings-business-analyst-financial-analyst-management-trainee-milestone-online-technology-ludhiana-amritsar-jammu-0-to-1-years-160425003738,,,No Description Available,Naukri,2025-04-27,Full Time,
Deputy Manager,Max Life Insurance,Jammu,https://www.naukri.com/job-listings-deputy-manager-max-life-insurance-company-limited-jammu-0-to-5-years-240425502341,,,No Description Available,Naukri,2025-04-27,Full Time,
Opening For Account Voice process executive role - Greet,Greet Technologies,Bengaluru,https://www.naukri.com/job-listings-opening-for-account-voice-process-executive-role-greet-next-vision-business-solution-bengaluru-0-to-2-years-220425018799,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive,Pro Ultimate Gyms,Bengaluru,https://www.naukri.com/job-listings-accounts-executive-pro-ultimate-gyms-bengaluru-0-to-3-years-090425502000,,,No Description Available,Naukri,2025-04-27,Full Time,
Corporate Account Executive,Red Hat,"Mumbai, Pune, Bengaluru",https://www.naukri.com/job-listings-corporate-account-executive-red-hat-india-pvt-ltd-mumbai-pune-bengaluru-1-to-4-years-100425916715,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Wipro,Noida,https://www.naukri.com/job-listings-account-executive-wipro-limited-noida-0-to-5-years-250425917296,,,No Description Available,Naukri,2025-04-27,Full Time,
Executive - Assurance - NAT - ASU - AUDIT - ACCOUNTING - Mumbai,EY,Mumbai,https://www.naukri.com/job-listings-executive-assurance-nat-asu-audit-accounting-mumbai-ernst-young-mumbai-0-to-3-years-240425501790,,,No Description Available,Naukri,2025-04-27,Full Time,
Executive - Finance & Accounts,BorgWarner,Pune,https://www.naukri.com/job-listings-executive-finance-accounts-borg-warner-morse-tec-pune-0-to-3-years-180425501463,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Imphal, Shillong, Kohima, Port Blair, Aizawl, Daman & Diu, Puducherry, Gangtok, Itanagar",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-imphal-shillong-kohima-port-blair-aizawl-daman-diu-puducherry-gangtok-itanagar-1-to-6-years-090425004923,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - Public Sector,Wipro,Noida,https://www.naukri.com/job-listings-account-executive-public-sector-wipro-limited-noida-0-to-5-years-250425916211,,,No Description Available,Naukri,2025-04-27,Full Time,
Business Development Executive - US Accounting & Taxation Traini,Scepter Outsourcing,Ahmedabad(Satellite),https://www.naukri.com/job-listings-business-development-executive-us-accounting-taxation-traini-scepter-outsourcing-ahmedabad-0-to-2-years-240425020974,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - BFSI,Wipro,Mumbai,https://www.naukri.com/job-listings-account-executive-bfsi-wipro-limited-mumbai-0-to-5-years-250425916158,,,No Description Available,Naukri,2025-04-27,Full Time,
